fecha_hechos,delito,categoria_delito,fiscalia,agencia,unidad_investigacion,alcaldia_hechos,colonia_hechos,calle_hechos,longitud,latitud,uv,ilu_luna,punto_rocio,temp_sentir,nubosidad,humedad,precipitacion,presion,temperatura,visibilidad,dir_viento,vel_viento,nombre_dia,dia_festivo
2017-09-01 21:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-1,UI-3SD,CUAUHTEMOC,SAN SIMÓN TOLNAHUAC,AVENIDA INSURGENTES NORTE,-99.1446542200309,19.4607004937699,5,71,13,17,45,78,0.7,1018,16,10,25,10,4,0
2017-09-02 00:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN TLALPAN,TLP-4,UI-3CD,CUAUHTEMOC,CENTRO,SIMON BOLIVAR,-99.1383168416058,19.4337748731198,5,79,13,16,43,80,0.0,1019,15,10,26,10,5,0
2017-09-02 02:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-6,UI-1SD,CUAUHTEMOC,CENTRO,TACUBA,-99.14064368498751,19.4359466125389,5,79,12,16,53,82,0.1,1018,15,7,13,8,5,0
2017-09-02 03:40:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN AGENCIAS DE ATENCIÓN ESPECIALIZADAS,TUR-2,UI-3SD,CUAUHTEMOC,JUÁREZ,LONDRES,-99.16205376100729,19.4264145507809,5,79,12,15,58,82,0.1,1018,15,5,7,7,5,0
2017-09-02 04:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-3CD,CUAUHTEMOC,JUÁREZ,PRAGA,-99.1694153532596,19.424026698783397,5,79,12,15,50,83,0.1,1018,14,7,6,7,5,0
2017-09-02 04:55:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,URI-CUH-2,UI-1SD,CUAUHTEMOC,CENTRO,MADERO,-99.1407365981186,19.4341221184535,5,79,12,15,50,83,0.1,1018,14,7,6,7,5,0
2017-09-02 07:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-1CD,CUAUHTEMOC,ROMA NORTE,AV. CHAPULTEPEC,-99.16360214256291,19.423309593160997,5,79,13,16,37,82,0.0,1018,15,10,5,7,5,0
2017-09-02 08:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-1CD,CUAUHTEMOC,CENTRO,SAN  PABLO,-99.12583071124729,19.425640907063602,5,79,12,16,42,78,0.0,1019,16,10,7,7,5,0
2017-09-02 12:30:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,URI-CUH-2,UI-1SD,CUAUHTEMOC,CENTRO,CORREO MAYOR,-99.1303063959648,19.430502856031698,5,79,12,20,41,62,0.0,1018,19,10,350,8,5,0
2017-09-02 12:40:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-4,UI-1SD,CUAUHTEMOC,CENTRO,APARTADO,-99.1290650799658,19.4402389322332,5,79,12,20,41,62,0.0,1018,19,10,350,8,5,0
2017-09-02 13:52:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-1CD,CUAUHTEMOC,CENTRO,AV. 20 DE NOVIEMBRE,-99.1336256569919,19.4305296404548,5,79,13,20,38,62,0.0,1018,20,10,235,10,5,0
2017-09-02 15:40:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-4,UI-2SD,CUAUHTEMOC,CENTRO,EL CARMEN,-99.1290335499945,19.439649702651,5,79,13,21,30,61,0.0,1016,20,10,6,13,5,0
2017-09-02 16:30:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAJIMALPA,CJ-1,UI-1SD,CUAUHTEMOC,CENTRO,AV. JUAREZ,-99.14378414556342,19.4347574592647,5,79,13,20,33,63,0.0,1016,20,10,122,13,5,0
2017-09-02 17:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-6,UI-2SD,CUAUHTEMOC,CENTRO,EJE CENTRAL LAZARO CARDENAS,-99.1407365981186,19.4341221184535,5,79,13,19,36,66,0.0,1016,19,10,239,13,5,0
2017-09-02 18:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-1SD,CUAUHTEMOC,BUENAVISTA,AVENIDA INSURGENTES NORTE,-99.15299959644041,19.446289679595303,5,79,13,19,39,68,0.0,1016,18,10,355,13,5,0
2017-09-02 18:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-4,UI-1SD,CUAUHTEMOC,CENTRO,REPUBLICA DE PERU,-99.13385308063489,19.439823851222698,5,79,13,19,39,68,0.0,1016,18,10,355,13,5,0
2017-09-02 18:40:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-4,UI-3SD,CUAUHTEMOC,CENTRO,CORREGIDORA,-99.1278292079974,19.4311282509139,5,79,13,19,39,68,0.0,1016,18,10,355,13,5,0
2017-09-03 02:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,HIPÓDROMO,CADEREITA,-99.1723352147363,19.412429989845396,4,86,12,15,54,81,0.2,1019,15,5,242,6,6,0
2017-09-03 04:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN DE LOS DELITOS COMETIDOS POR SERVIDORES PUBLICOS,B,UI-2CD,CUAUHTEMOC,DOCTORES,DR. VERTIZ,-99.14821791165491,19.4155116918572,4,86,12,15,52,82,0.1,1019,14,7,239,6,6,0
2017-09-03 11:15:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,DOCTORES,EJE CENTRAL LAZARO CARDENAS,-99.14332226291,19.4210612891167,4,86,12,19,38,63,0.0,1019,18,10,228,5,6,0
2017-09-03 12:30:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-4,UI-2SD,CUAUHTEMOC,CENTRO,ANILLO DE CIRCUNVALACION,-99.1255253192931,19.426596571866,4,86,12,20,34,58,0.0,1018,19,10,327,5,6,0
2017-09-03 14:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-7,UI-3SD,CUAUHTEMOC,CONDESA,JUAN ESCUTIA,-99.17234375882491,19.413408074454104,4,86,12,21,26,56,0.0,1016,20,10,118,6,6,0
2017-09-03 14:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,MORELOS,MATAMOROS,-99.12912662430858,19.4470304987378,4,86,12,21,26,56,0.0,1016,20,10,118,6,6,0
2017-09-03 14:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,CENTRO,DEL CORREO MAYOR,-99.12976446746141,19.434606967761802,4,86,12,21,26,56,0.0,1016,20,10,118,6,6,0
2017-09-03 15:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN IZTACALCO,IZC-1,UI-3SD,CUAUHTEMOC,CENTRO,REPUBLICA DEL SALVADOR,-99.13655334248159,19.4296366375142,4,86,12,22,21,54,0.0,1015,21,10,13,7,6,0
2017-09-03 15:05:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,CENTRO,EJE CENTRAL LAZARO CARDENAS,-99.14167573275499,19.4290303635583,4,86,12,22,21,54,0.0,1015,21,10,13,7,6,0
2017-09-03 15:25:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,CENTRO,EJE CENTRAL LAZARO CARDENAS,-99.1413801689223,19.4311058165079,4,86,12,22,21,54,0.0,1015,21,10,13,7,6,0
2017-09-03 16:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,CENTRO,JESUS MARIA,-99.1281459686202,19.4311399319411,4,86,12,20,43,61,0.0,1015,20,10,21,9,6,0
2017-09-03 18:00:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-3,UI-3SD,CUAUHTEMOC,MORELOS,TOLTECAS,-99.1271994286284,19.4495259550973,4,86,13,18,85,75,0.0,1016,17,10,38,13,6,0
2017-09-03 19:30:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2SD,CUAUHTEMOC,BUENAVISTA,JESUS GARCIA,-99.15225810940251,19.443715270901603,4,86,13,17,83,76,0.0,1017,17,9,41,12,6,0
2017-09-03 21:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-1,UI-2SD,CUAUHTEMOC,NONOALCO TLATELOLCO,LERDO Y EJE CENTRAL,-99.13841573649842,19.452364477247,4,86,13,16,79,80,2.7,1018,16,7,49,8,6,0
2017-09-03 22:30:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-2CD,CUAUHTEMOC,CENTRO,AVENIDA JOSE MARIA PINO SUAREZ,-99.1328109988109,19.4259659696617,4,86,12,16,73,80,1.3,1018,15,8,142,6,6,0
2017-09-04 01:00:00,ROBO A TRANSEUNTE DE CELULAR SIN VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-4,UI-2SD,CUAUHTEMOC,CENTRO,MANUEL DOBLADO,-99.12509469901408,19.4400742901952,5,94,12,16,56,79,0.0,1019,15,10,233,2,0,0
2017-09-04 05:45:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-8,UI-2SD,CUAUHTEMOC,CENTRO,JOSE MARIA PINO SUAREZ,-99.1333290659919,19.424031007035197,5,94,12,16,46,80,0.0,1018,15,10,249,3,0,0
2017-09-04 07:55:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-3CD,CUAUHTEMOC,DOCTORES,DOCTOR RAFAEL NORMA,-99.14461132466509,19.4098700076567,5,94,12,16,46,77,0.0,1018,15,8,250,3,0,0
2017-09-04 13:10:00,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,INVESTIGACIÓN EN CUAUHTEMOC,CUH-2,UI-3CD,CUAUHTEMOC,CENTRO,ANGELA PERALTA,-99.1417236999999,19.4359656998335,5,94,13,23,29,54,0.0,1016,21,10,230,3,0,0
2017-09-04 15:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,INVESTIGACIÓN EN CUAUHTEMOC,CUH-8,UI-1SD,CUAUHTEMOC,CENTRO,DIAGONAL 20 DE NOVIEMBRE,-99.13526869566351,19.4228763354544,5,94,13,25,26,53,0.5,1014,22,9,241,3,0,0
2017-09-04 15:00:00,ROBO A TRANSEUNTE DE CELULAR CON VIOLENCIA,DELITO DE BAJO IMPACTO,"INVESTIGACIÓN PARA LA ATENCIÓN DE NIÑOS, NIÑAS Y ADOLESCENTES",57,UI-3CD,CUAUHTEMOC,CENTRO,METRO BELLAS ARTES,-99.1417236999999,19.4359656998335,5,94,13,25,26,53,0.5,1014,22,9,241,3,0,0
